序号,评论ID,评论内容,是否有效,信号类型,讨论主题,用户需求,用户顾虑,目标人群,使用场景,人工复核状态,复核人,备注
1,C-0001,"无糖是挺好,但代糖长期喝真的安全吗?",是,需求矛盾/高频疑问,代糖安全与甜味,希望获得无糖或低负担的收益,担心替代方案带来新的代价,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
2,C-0002,零糖饮料为什么喝起来还是甜的?,是,观点分歧/高频疑问,无糖饮料选择,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
3,C-0003,减脂期能不能每天喝无糖可乐?,是,高频疑问,减脂与热量,需要清晰、可核验的解释,现有内容没有直接回答,减脂健身人群,,待人工复核,,系统预标注，不计入已完成人工标注
4,C-0004,赤藓糖醇和阿斯巴甜到底哪个更好?,是,对比需求/观点分歧/高频疑问,代糖安全与甜味,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
5,C-0005,我喝零糖汽水反而更想吃甜食。,是,需求矛盾,无糖饮料选择,希望获得无糖或低负担的收益,担心替代方案带来新的代价,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
6,C-0006,糖尿病人可以喝标着零糖的饮料吗?,是,高频疑问,控糖与血糖,需要清晰、可核验的解释,现有内容没有直接回答,控糖人群,,待人工复核,,系统预标注，不计入已完成人工标注
7,C-0007,"配料表里有碳水,为什么还能叫无糖?",是,高频疑问,配料与营养标签,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
8,C-0008,"健身后想喝点有味道的,又怕影响减脂。",是,隐藏场景/需求矛盾,减脂与热量,希望获得无糖或低负担的收益,担心替代方案带来新的代价,减脂健身人群,运动后,待人工复核,,系统预标注，不计入已完成人工标注
9,C-0009,无糖茶比无糖汽水更健康吗?,是,高频疑问,无糖饮料选择,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
10,C-0010,孕期可以喝含代糖的饮料吗?,是,高频疑问,代糖安全与甜味,需要清晰、可核验的解释,现有内容没有直接回答,孕期人群,,待人工复核,,系统预标注，不计入已完成人工标注
11,C-0011,"我更关心咖啡因,不只是糖。",是,,,,,,,待人工复核,,系统预标注，不计入已完成人工标注
12,C-0012,晚上喝零糖可乐会不会睡不着?,是,隐藏场景/高频疑问,咖啡因与睡眠,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,晚间或加班,待人工复核,,系统预标注，不计入已完成人工标注
13,C-0013,"同样写零糖,为什么不同品牌热量差这么多?",是,对比需求/高频疑问,减脂与热量,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
14,C-0014,想看国产和进口无糖汽水的横向测评。,是,对比需求,产品横向对比,需要可执行的选择依据,缺少统一比较标准,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
15,C-0015,无糖气泡水和普通苏打水有什么区别?,是,高频疑问,无糖饮料选择,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
16,C-0016,"办公室下午犯困时会喝,但不想摄入太多咖啡因。",是,隐藏场景/需求矛盾,咖啡因与睡眠,希望获得无糖或低负担的收益,担心替代方案带来新的代价,关注健康饮品的消费者,办公室下午,待人工复核,,系统预标注，不计入已完成人工标注
17,C-0017,吃火锅时想用无糖饮料替代啤酒。,是,隐藏场景,无糖饮料选择,需要场景化选择建议,通用建议无法覆盖具体使用条件,关注健康饮品的消费者,聚餐佐餐,待人工复核,,系统预标注，不计入已完成人工标注
18,C-0018,跑步以后喝零糖电解质水合适吗?,是,隐藏场景/高频疑问,无糖饮料选择,需要清晰、可核验的解释,现有内容没有直接回答,减脂健身人群,运动后,待人工复核,,系统预标注，不计入已完成人工标注
19,C-0019,"孩子总想喝甜饮料,无糖款能作为替代吗?",是,高频疑问,特殊人群适用性,需要清晰、可核验的解释,现有内容没有直接回答,有儿童的家庭,,待人工复核,,系统预标注，不计入已完成人工标注
20,C-0020,牙齿敏感的人喝无糖碳酸会更糟吗?,是,高频疑问,口腔健康,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
21,C-0021,"不含糖不代表不伤牙吧,酸度也应该讲清楚。",是,需求矛盾,口腔健康,希望获得无糖或低负担的收益,担心替代方案带来新的代价,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
22,C-0022,"有人说代糖会影响肠道,有没有可靠依据?",是,观点分歧/高频疑问,代糖安全与甜味,需要清晰、可核验的解释,现有内容没有直接回答,肠胃敏感人群,,待人工复核,,系统预标注，不计入已完成人工标注
23,C-0023,"我喝赤藓糖醇会肚子不舒服,换哪种比较好?",是,高频疑问,代糖安全与甜味,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
24,C-0024,所谓零卡真的一丁点热量都没有吗?,是,观点分歧/高频疑问,减脂与热量,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
25,C-0025,"希望测评不要只比甜度,也比配料和价格。",是,对比需求,配料与营养标签,需要可执行的选择依据,缺少统一比较标准,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
26,C-0026,无糖饮料越喝越胖是心理作用还是有原因?,是,观点分歧/需求矛盾/高频疑问,减脂与热量,希望获得无糖或低负担的收益,担心替代方案带来新的代价,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
27,C-0027,控糖但不减肥的人应该怎么选?,是,对比需求/需求矛盾/高频疑问,控糖与血糖,希望获得无糖或低负担的收益,担心替代方案带来新的代价,控糖人群,,待人工复核,,系统预标注，不计入已完成人工标注
28,C-0028,"喝惯了全糖,哪款无糖饮料的代糖味最轻?",是,对比需求/高频疑问,代糖安全与甜味,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
29,C-0029,"我想要不甜的饮料,不是换一种甜味。",是,,,,,,,待人工复核,,系统预标注，不计入已完成人工标注
